"Category_Minor","ln","lt"
"Ministry of Shipping & Aegean",23.7299002,37.9777956262513
"Ministry of Shipping & Aegean",23.7299002,37.9777956262513
"Ministry of Shipping & Aegean",23.722946,37.981881
"Ministry of Shipping & Aegean",23.7345713333333,37.9785575079365
"Ministry of Shipping & Aegean",23.7339679306202,37.9793383
"Ministry of Shipping & Aegean",23.7716806315789,37.9912408
"Ministry of Shipping & Aegean",23.628816,37.944223
"Ministry of Shipping & Aegean",23.625335,37.942824
"Ministry of Shipping & Aegean",23.7326158010753,37.976532
"Ministry of Shipping & Aegean",23.7326158010753,37.976532
"Ministry of Shipping & Aegean",23.730919775877,37.9862488514273
"Ministry of Shipping & Aegean",23.633572,37.944229
"Ministry of Shipping & Aegean",23.62545,37.942851
"Ministry of Shipping & Aegean",23.633572,37.944229
"Decentralized Administration",23.7446755,38.1131958342246
"Decentralized Administration",23.7377386771902,38.0768924661903
"After School Programs|Private Schools",23.8173,38.041
"Tuition Centres (Secondary Education)|After School Programs|Computer Schools",23.8794,38.0019
"After School Programs",23.732249,37.996004
"After School Programs",23.7332038879394,37.9714698791503
"After School Programs",23.724885,37.964847
"After School Programs",23.7389495526601,37.9823129
"After School Programs",23.729213,38.014716
"After School Programs",23.7326521,37.9897630731959
"After School Programs",23.7582406666667,37.9958106878307
"After School Programs",23.7532503782516,37.9773536
"After School Programs",23.807691,38.075207
"After School Programs",23.7496835290897,37.9880226666667
"After School Programs",23.7355050568265,37.9951709
"After School Programs",23.6861387938188,37.9587437084221
"After School Programs",23.695137745388,38.0028831124181
"After School Programs",23.731608709599,37.9742225972476
"After School Programs",23.7673854999999,37.994453879518
"After School Programs",23.75758983943,37.9824802097476
"After School Programs",23.7917787326089,38.0028940369875
"After School Programs",23.73023,37.987576
"After School Programs",23.8051964546293,38.0342302099029
"After School Programs",23.807691,38.075207
"After School Programs",23.7430498106113,37.8662103
"After School Programs",23.7276297437401,37.9645521548326
"After School Programs",23.848357412373,38.1239749523273
"After School Programs",23.7192548969849,38.0010585
"After School Programs",23.7325811140179,37.997513762235
"Creperie",23.7342466441802,38.0800195494079
"Creperie",23.7374378404984,38.0808132
"Cooking Schools",23.7302745199442,37.9935327410366
"Cooking Schools",23.7287633678161,37.993345
"Cooking Schools",23.751626,37.869218
"Cooking Schools",23.764446561635,37.9970282114375
"Cooking Schools",23.732812,37.97089
"Online Services",23.7419418,38.081551696334
"Online Services",23.7328899999999,38.0812998888888
"Regional Units",23.8157493713434,38.0122106
"Regional Units",23.7261643494518,37.9642787
"Regional Units",23.699693,38.01879
"Regional Units",23.6434042,37.9450089637813
"Regional Units",23.8435082166666,38.0138789
"Regional Units",23.64289925,37.9383417082111
"Regional Units",23.633788,37.950723
"Regional Units",23.6428065518776,37.9452966665559
"Regional Units",23.6434042,37.9450089637813
"Regional Units",23.675122778805,37.9940335331175
"Regional Units",23.7292408293113,37.9881538205221
"Regional Units",23.64289925,37.9383417082111
"Regional Units",23.644676056391,37.9461655
"Regional Units",23.633788,37.950723
"Regional Units",23.6486773443067,37.944845494405
"Regional Units",23.5347737986595,38.0451022
"Regional Units",23.546497,38.037591
"Regional Units",23.6554655,37.9474989764168
"Regional Units",23.645294,37.945184
"Regional Units",23.7863744548926,38.0003539596329
"Regional Units",23.857942,38.002455
"Regional Units",23.7599063148482,37.9866702
"Regional Units",23.6918672789987,37.9497051428571
"Regional Units",23.7306138896883,37.9674136666667
"Regional Units",23.6434907611557,37.9494799
"Regional Units",23.6434907611557,37.9494799
"Regional Units",23.6434042,37.9450089637813
"Regional Units",23.6428065518776,37.9452966665559
"Regional Units",23.644676056391,37.9461655
"Regional Units",23.539165,38.044692
"Regional Units",23.7229639090909,37.9200849
"Regional Units",23.7285421320462,37.9837583963639
"Regional Units",23.6486773443067,37.944845494405
"Regional Units",23.6657,37.953464
"Regional Units",23.6554655,37.9474989764168
"Regional Units",23.645294,37.945184
"Regional Units",23.537978,38.047292
"Regional Units",23.8295695432205,38.0137763945091
"Regional Units",23.6434042,37.9450089637813
"Regional Units",23.8157493713434,38.0122106
"Regional Units",23.7159027242604,37.9143406
"Regional Units",23.7306138896883,37.9674136666667
"Regional Units",23.6657,37.953464
"Regional Units",23.7261643494519,37.9642787
"Regional Units",23.7306138896883,37.9674136666667
"Regional Units",23.6554655,37.9474989764168
"Regional Units",23.7261643494519,37.9642787
"Regional Units",23.7930826341025,38.0037489276956
"Costumes & Costume Hire",23.7045698671556,37.9987223333333
"Costumes & Costume Hire",23.730321130622,37.995869
"Costumes & Costume Hire",23.6890156666666,38.029448331384
"Costumes & Costume Hire",23.811595,38.035471
"Costumes & Costume Hire",23.7257767133397,37.9784383141239
"Costumes & Costume Hire",23.6906352689345,37.9527075
"Costumes & Costume Hire",23.7435088057324,37.97854225
"Costumes & Costume Hire",23.7090402259136,38.0304425
"Costumes & Costume Hire",23.7275982,37.9873885098901
"Costumes & Costume Hire",23.6810160999999,37.9907118977653
"Costumes & Costume Hire",23.7538732388489,38.03536
"Costumes & Costume Hire",23.671506,37.999775
"Costumes & Costume Hire",23.7250575,37.9781660216867
"Costumes & Costume Hire",23.7452245255131,38.0003488
"Costumes & Costume Hire",23.6684524,37.9942409737276
"Costumes & Costume Hire",23.742466,38.302103
"Costumes & Costume Hire",23.7671433382892,37.976976
"Costumes & Costume Hire",23.73921,37.940267808642
"Costumes & Costume Hire",23.7664715365854,37.9554523
"Costumes & Costume Hire",23.73779475,37.947892704461
"Healthcare Card",23.7240431832611,37.9626363333333
"Healthcare Card",23.7327399167023,37.9752818065429
"Healthcare Card",23.6870229,37.9911416671081
"Healthcare Card",23.7161720684813,37.9548038
"Healthcare Card",23.7423447851239,38.015297
"Healthcare Card",23.7086615986486,37.9775112
"Healthcare Card",23.7601080757575,37.9847089999999
"Healthcare Card",23.7949853617352,38.0191139055056
"Healthcare Card",23.7386864,37.94758664926
"Healthcare Card",23.7922757792022,38.02687725
"Healthcare Card",23.7243521555943,37.9868390343945
"Healthcare Card",23.7059153142838,37.9691177198279
"Healthcare Card",23.7351322,37.9825549434988
"Healthcare Card",23.7580735360089,37.8708962
"Healthcare Card",23.7877581889488,38.0558546842194
"Healthcare Card",23.7432675704225,37.9290255
"Healthcare Card",23.7949853617353,38.0191139055057
"Healthcare Card",23.7342620360037,37.9762601933886
"Healthcare Card",23.7949853617353,38.0191139055057
"Stem Cell Banks",23.788902,37.99027
"Stem Cell Banks",23.7892796355666,38.0248964631359
"Stem Cell Banks",23.7457096666666,37.9722109025836
"Stem Cell Banks",23.7457096666667,37.9722109025836
"Stem Cell Banks",23.6591588778788,38.012429104737
"Stem Cell Banks",23.8306233205196,38.0139385412692
"Escape Rooms",23.7361626,37.9553510539823
"Escape Rooms",23.8109998429755,38.07047423974
"Escape Rooms",23.713631,37.980106
"Escape Rooms",23.807267,38.054549
"Escape Rooms",23.806731,38.0551183690476
"Escape Rooms",23.7520985,38.0214647743362
"Escape Rooms",23.7512075653187,38.0407441769492
"Escape Rooms",23.7363545377687,37.9518889560022
"Escape Rooms",23.7625867590909,37.9841987999999
"Escape Rooms",23.8186959773892,38.0190998971238
"Escape Rooms",23.7281189057471,37.9760048
"Escape Rooms",23.7262985,37.9770018193277
"Escape Rooms",23.7396975,37.9403997638889
"Escape Rooms",23.7023979063197,38.0059862
"Escape Rooms",23.6944587,38.0164798678733
"Escape Rooms",23.720144,37.985696
"Escape Rooms",23.7078143438435,37.9600396067703
"Escape Rooms",23.822341,38.012118
"Escape Rooms",23.7959164,38.0187109384292
"Escape Rooms",23.8602774321025,38.1424964970188
"Escape Rooms",23.712425314542,37.9825171428571
"Escape Rooms",23.8004781897654,38.0238477952466
"Escape Rooms",23.7340701999999,37.9724620814661
"Escape Rooms",23.805856,38.055781
"Escape Rooms",23.685381,38.001256
"Escape Rooms",23.827021,38.0071205317073
"Escape Rooms",23.7139229182171,37.9399450171825
"Escape Rooms",23.7031481140437,38.0034846128409
"Escape Rooms",23.7015833,37.9342111248366
"Escape Rooms",23.8000820338127,38.021665300515
"Escape Rooms",23.6857292150537,37.9924726666666
"Escape Rooms",23.7519348,37.9749185444444
"Escape Rooms",23.753214,37.856788
"Escape Rooms",23.831284027611,38.0150528750491
"Escape Rooms",23.8423475016548,38.0143024562181
"Escape Rooms",23.7506423044776,37.9746053999999
"Escape Rooms",23.711454,37.977136
"Escape Rooms",23.709558991677,37.9466626666666
"Escape Rooms",23.649471,37.943857683527
"Escape Rooms",23.720561,37.952629
"Escape Rooms",23.7423712511817,37.9387078989766
"Escape Rooms",23.736468,37.978925
"Escape Rooms",23.736676,37.983359
"Escape Rooms",23.6248104,37.9649759082569
"Escape Rooms",23.722118,37.9848319664804
"Escape Rooms",23.646297,37.939442
"Escape Rooms",23.753749,37.983329
"Computer Schools",23.737317,38.0878451156606
"Kids Creative Learning Centers",23.737371,38.085859
"Ministry of Education & Religious Affairs",23.7876362420854,38.0469340018151
"Ministry of Education & Religious Affairs",23.79531,38.044146
"Ministry of Education & Religious Affairs",23.7876362420854,38.0469340018151
"Ministry of Education & Religious Affairs",23.7876362420854,38.0469340018151
"Ministry of Education & Religious Affairs",23.7876362420854,38.0469340018151
"Ministry of Education & Religious Affairs",23.7876362420854,38.0469340018151
"Ministry of Education & Religious Affairs",23.7876362420854,38.0469340018151
"Ministry of Education & Religious Affairs",23.7876362420853,38.0469340018151
"Ministry of Education & Religious Affairs",23.7876362420854,38.0469340018151
"Ministry of Education & Religious Affairs",23.7876362420854,38.0469340018151
"Ministry of Education & Religious Affairs",23.7428563,37.9749289051546
"Ministry of Education & Religious Affairs",23.7876362420854,38.0469340018151
"Ministry of Education & Religious Affairs",23.7876362420854,38.0469340018151
"Ministry of Education & Religious Affairs",23.7876362420854,38.0469340018151
"Ministry of Education & Religious Affairs",23.7876362420854,38.0469340018151
"Ministry of Education & Religious Affairs",23.7876362420854,38.0469340018151
"Ministry of Education & Religious Affairs",23.786545,38.048821
"Ministry of Education & Religious Affairs",23.67880125,37.9919263091862
"Ministry of Education & Religious Affairs",23.7876362420854,38.0469340018151
"Ministry of Education & Religious Affairs",23.7876362420854,38.0469340018151
"Ministry of Education & Religious Affairs",23.7876362420854,38.0469340018151
"Ministry of Education & Religious Affairs",23.7876362420854,38.0469340018151
"Ministry of Education & Religious Affairs",23.7876362420854,38.0469340018151
"Ministry of Education & Religious Affairs",23.7876362420854,38.0469340018151
"Ministry of Education & Religious Affairs",23.7876362420854,38.0469340018151
"Ministry of Education & Religious Affairs",23.7876362420854,38.0469340018151
"Ministry of Education & Religious Affairs",23.7876362420854,38.0469340018151
"Ministry of Education & Religious Affairs",23.7876362420854,38.0469340018151
"Ministry of Education & Religious Affairs",23.7876362420854,38.0469340018151
"Ministry of Education & Religious Affairs",23.7876362420854,38.0469340018151
"Ministry of Education & Religious Affairs",23.7876362420854,38.0469340018151
"Ministry of Education & Religious Affairs",23.7876362420854,38.0469340018151
"Ministry of Education & Religious Affairs",23.7876362420854,38.0469340018151
"Ministry of Education & Religious Affairs",23.7876362420854,38.0469340018151
"Ministry of Education & Religious Affairs",23.7876362420854,38.0469340018151
"Ministry of Education & Religious Affairs",23.7876362420854,38.0469340018151
"Ministry of Education & Religious Affairs",23.7876362420854,38.0469340018151
"Ministry of Education & Religious Affairs",23.7876362420854,38.0469340018151
"Ministry of Education & Religious Affairs",23.7876362420854,38.0469340018151
"Ministry of Education & Religious Affairs",23.7876362420854,38.0469340018151
"Ministry of Education & Religious Affairs",23.7876362420854,38.0469340018151
"Ministry of Education & Religious Affairs",23.7876362420854,38.0469340018151
"Ministry of Education & Religious Affairs",23.7876362420854,38.0469340018151
"Ministry of Education & Religious Affairs",23.7876362420854,38.0469340018151
"Ministry of Education & Religious Affairs",23.7325521,37.9897865268041
"Ministry of Education & Religious Affairs",23.7876362420854,38.0469340018151
"Ministry of Culture & Sport",23.7334495,37.9885868559928
"Ministry of Culture & Sport",23.7183584887375,37.9797473
"Ministry of Culture & Sport",23.7325521,37.9897865268041
"Ministry of Culture & Sport",23.724518878533,37.9742350838604
"Ministry of Culture & Sport",23.7348032857143,37.9875098014842
"Ministry of Culture & Sport",23.7334495,37.9885868559928
"Ministry of Culture & Sport",23.7319606,37.9781640668857
"Ministry of Culture & Sport",23.7318606,37.9781777331143
"Ministry of Culture & Sport",23.7277679155388,37.9730608850828
"Ministry of Culture & Sport",23.7318606,37.9781777331143
"Ministry of Culture & Sport",23.7348032857143,37.9875098014842
"Ministry of Culture & Sport",23.7311467,37.9689720096257
"Ministry of Culture & Sport",23.7316455303116,37.9759447
"Ministry of Culture & Sport",23.7316455303116,37.9759447
"Ministry of Culture & Sport",23.7322051052632,37.989746
"Ministry of Culture & Sport",23.7333968571429,37.9858507323481
"Ministry of Culture & Sport",23.7325521,37.9897865268041
"Ministry of Culture & Sport",23.7319606,37.9781640668857
"Ministry of Culture & Sport",23.7318606,37.9781777331143
"Ministry of Culture & Sport",23.7318606,37.9781777331143
"Ministry of Culture & Sport",23.7277679155388,37.9730608850828
"Ministry of Culture & Sport",23.7195262350566,37.9794027142857
"Ministry of Culture & Sport",23.7209285470255,37.9779392378713
"Ministry of Culture & Sport",23.726261102439,37.973772
"Ministry of Culture & Sport",23.7297165,37.9690420774908
"Ministry of Culture & Sport",23.7316455303116,37.9759447
"Ministry of Culture & Sport",23.7319606,37.9781640668857
"Ministry of Culture & Sport",23.7319606,37.9781640668857
"Ministry of Culture & Sport",23.7317615076978,37.9907936666667
"Ministry of Culture & Sport",23.7317615076978,37.9907936666667
"Ministry of Culture & Sport",23.7319606,37.9781640668857
"Ministry of Culture & Sport",23.7325521,37.9897865268041
"Ministry of Culture & Sport",23.7334495,37.9885868559928
"Ministry of Culture & Sport",23.730436690245,37.9841543333333
"Ministry of Culture & Sport",23.719863,37.979499
"Ministry of Culture & Sport",23.7183584887375,37.9797473
"Ministry of Culture & Sport",23.7325521,37.9897865268041
"Ministry of Culture & Sport",23.7311467,37.9689720096257
"Ministry of Culture & Sport",23.7319606,37.9781640668857
"Ministry of Culture & Sport",23.7311466999999,37.9689720096256
"Ministry of Infrastructure - Transport & Networks",23.788543,37.999124
"Ministry of Infrastructure - Transport & Networks",23.788543,37.999124
"Ministry of Infrastructure - Transport & Networks",23.7422586666667,37.9884469047619
"Ministry of Infrastructure - Transport & Networks",23.788543,37.999124
"Ministry of Infrastructure - Transport & Networks",23.788543,37.999124
"Ministry of Infrastructure - Transport & Networks",23.788543,37.999124
"Ministry of Infrastructure - Transport & Networks",23.788543,37.999124
"Ministry of Infrastructure - Transport & Networks",23.788543,37.999124
"Ministry of Infrastructure - Transport & Networks",23.788543,37.999124
"Ministry of Infrastructure - Transport & Networks",23.788543,37.999124
"Ministry of Infrastructure - Transport & Networks",23.788543,37.999124
"Ministry of Infrastructure - Transport & Networks",23.788543,37.999124
"Ministry of Infrastructure - Transport & Networks",23.788543,37.999124
"Ministry of Infrastructure - Transport & Networks",23.788543,37.999124
"Ministry of Infrastructure - Transport & Networks",23.7455525658933,37.9891896
"Ministry of Infrastructure - Transport & Networks",23.788543,37.999124
"Ministry of Infrastructure - Transport & Networks",23.746811,37.9880960306122
"Ministry of Infrastructure - Transport & Networks",23.788543,37.999124
"Ministry of Infrastructure - Transport & Networks",23.788543,37.999124
"Ministry of Infrastructure - Transport & Networks",23.788543,37.999124
"Ministry of Infrastructure - Transport & Networks",23.788543,37.999124
"Ministry of Infrastructure - Transport & Networks",23.788543,37.999124
"Ministry of Infrastructure - Transport & Networks",23.788543,37.999124
"Ministry of Infrastructure - Transport & Networks",23.788543,37.999124
"Ministry of Infrastructure - Transport & Networks",23.7381495,37.9060986933962
"Ministry of Infrastructure - Transport & Networks",23.788543,37.999124
"Ministry of Infrastructure - Transport & Networks",23.788543,37.999124
"Ministry of Infrastructure - Transport & Networks",23.788543,37.999124
"Ministry of Infrastructure - Transport & Networks",23.788543,37.999124
"Ministry of Infrastructure - Transport & Networks",23.788543,37.999124
"Ministry of Infrastructure - Transport & Networks",23.788543,37.999124
"Ministry of Infrastructure - Transport & Networks",23.788543,37.999124
